neigh,price_m2,glat,glng
ENGENHO NOVO,4.01561955302,-22.9034973912,-43.2632908235
ESTACIO,5.27687083109,-22.9138604,-43.2041890333
FATIMA,7.16666666667,-22.75981175,-43.38454925
FLAMENGO,11.0734550521,-22.9319859682,-43.1741558229
FREGUESIA,5.50585035377,-22.9311962065,-43.3291092685
GAVEA,16.6104117349,-22.8880203972,-43.18592225
GLORIA,9.22276301872,-22.9183656364,-43.1758511273
GRAJAU,5.90090697765,-22.9160258329,-43.2568737682
GUADALUPE,2.89243498818,-22.8349743667,-43.3642208333
GUARATIBA,2.9176201373,-22.9345081,-43.5778212
HIGIENOPOLIS,3.4,-22.867755,-43.2549411
HONORIO GURGEL,3.17847124825,-22.8395137,-43.35255915
HUMAITA,12.291495287,-22.954187526,-43.196666522
ILHA DO GOVERNADOR,5.91192411924,-22.8016404,-43.204288
INHAUMA,2.93439153439,-22.8684816333,-43.2804984667
INHOAIBA,0.447368421053,-22.9081093,-43.5969638
IPANEMA,21.3470687685,-22.9829384362,-43.1966211199
IRAJA,3.44509878798,-22.8316964357,-43.3202405714
ITANHANGA,3.96990916172,-22.97638535,-43.30086185
JACAREPAGUA,5.42747721965,-22.9435890413,-43.3574479361
JACAREPAGUA FREGUESIA,5.36398262658,-22.9323493222,-43.3300888069
JD AMERICA,3.22519416858,-22.80616125,-43.31854115
JD BOTANICO,15.9364662969,-22.9571853359,-43.2098451609
JD CARIOCA,7.0,-22.80507,-43.1911254
JD GUANABARA,5.87390762156,-22.8122477543,-43.1923837457
JOA,9.21875,-23.0123355,-43.2904968
LAGOA,16.3625425284,-22.9629877088,-43.1993945556
LAPA,9.69300064784,-22.91106741,-43.18228396
LARANJEIRAS,10.2238036469,-22.9330500225,-43.1829342008
LEBLON,23.8036371231,-22.9810960834,-43.2209303452
LEME,12.7540034364,-22.9616166,-43.1669057912
LINS DE VASCONCELOS,3.8025470132,-22.90593833,-43.275622745
MADUREIRA,3.47193841239,-22.8653307643,-43.3321323357
MAGALHAES BASTOS,2.85714285714,-22.8620676,-43.4047733
MARACANA,6.59384814677,-22.9095577508,-43.2255415237
MARECHAL HERMES,2.97136161447,-22.85426118,-43.36431788
MARIA DA GRACA,3.9593837535,-22.8791376,-43.2586462
MEIER,5.08788201651,-22.8969355084,-43.279139988
MONERO,4.97497420021,-22.7944366333,-43.1932522667
MUDA,6.17202998552,-22.93353418,-43.23800516
OLARIA,3.63782554481,-22.8434502,-43.26237592
OSWALDO CRUZ,2.5141509434,-22.86370725,-43.3451743
PARADA DE LUCAS,4.6511627907,-22.8204197,-43.3110629
PAVUNA,2.8654040404,-22.804857,-43.345961
PECHINCHA,4.67976565586,-22.9277106124,-43.3515903097
PENHA,4.07907215812,-22.831630372,-43.268758216
PENHA CIRCULAR,3.23076923077,-22.8233064,-43.2756511
PIEDADE,3.22114798781,-22.8796440833,-43.3027709333
PILARES,3.33327518377,-22.87086842,-43.29696451
PORTUGUESA,5.0,-22.7942674,-43.20316745
PRAIA DA BANDEIRA,3.90322580645,-22.806865,-43.1750902
PÇ DA BANDEIRA,6.75083334491,-22.93493016,-43.27984171
PÇ SECA,3.41003107174,-22.9151354889,-43.2682686333
QUINTINO BOCAIUVA,4.35200708763,-22.8823465286,-43.3125696143
RAMOS,3.59042935622,-22.8415428444,-43.2513141222
REALENGO,3.48919238643,-22.8671015286,-43.4102736143
RECREIO DOS BANDEIRANTES,6.85046455379,-22.9750152662,-43.4070004365
RIACHUELO,3.61896498304,-22.8978540111,-43.2525260778
RIBEIRA,5.48011273354,-22.8150326,-43.1616189
RIO COMPRIDO,5.0712105098,-22.9192557895,-43.2084814947
ROCHA,4.1249267889,-22.89192695,-43.2420776
ROCHA MIRANDA,3.16758481376,-22.8433035,-43.3362004
S CONRADO,14.7151970052,-22.9963236442,-43.2580275733
S CRISTOVAO,6.0316958091,-22.8807964233,-43.24910409
S FRANCISCO XAVIER,5.27160869076,-22.8518751333,-43.1930279667
SANTISSIMO,2.84090909091,-22.8720603,-43.5329642
SENADOR CAMARA,2.37777777778,-22.8643743,-43.4677478
STA TERESA,7.58191530639,-22.91671504,-43.184323065
SULACAP,3.75862068966,-22.8831747,-43.373487
TANQUE,4.21470121381,-22.9177585,-43.354585
