"id_loc","street","neigh","city","state","gaddress","glat","glng","gbnelat","gbnelng","gbswlat","gbswlng","visited"
7443,"RUA CAMPOS DA PAZ","RIO COMPRIDO","RIO DE JANEIRO","RJ","Rua Campos da Paz - Rio Comprido, Rio de Janeiro, 20250-460, Brazil",-22.9232,-43.2038,-22.9241,-43.2098,-22.9237,-43.2065,"2013-08-17 15:35:12"
7444,"RUA CAMPOS NOVOS","BARRA DA TIJUCA","RIO DE JANEIRO","RJ","Rua Campos Novos - Barra da Tijuca, Rio de Janeiro, 22620-400, Brazil",-23.0092,-43.3142,-23.0109,-43.3146,-23.0093,-43.3142,"2013-08-17 15:35:13"
7445,"RUA CAMPOS SALES","TIJUCA","RIO DE JANEIRO","RJ","Rua Campos Sales - Tijuca, Rio de Janeiro, Brazil",-22.9146,-43.2163,-22.9202,-43.2191,-22.9181,-43.2174,"2013-08-17 15:35:13"
7446,"RUA CANAVIEIRAS","GRAJAU","RIO DE JANEIRO","RJ","Rua Canavieiras - Grajaú, Rio de Janeiro, 20561-000, Brazil",-22.919,-43.265,-22.9268,-43.2684,-22.9232,-43.2665,"2013-08-17 15:35:14"
7447,"RUA CANDIDO BENICIO","PÇ SECA","RIO DE JANEIRO","RJ","Rua Canavieiras - Grajaú, Rio de Janeiro, 20561-000, Brazil",-22.919,-43.265,-22.9268,-43.2684,-22.9232,-43.2665,"2013-08-17 15:35:14"
7448,"RUA CANDIDO GAFFREE","BOTAFOGO","RIO DE JANEIRO","RJ","Rua Cândido Gaffrée - Urca, Rio de Janeiro, 22291-080, Brazil",-22.9434,-43.1599,-22.9476,-43.1627,-22.9449,-43.161,"2013-08-17 15:35:15"
7449,"RUA CANDIDO GAFFREE","URCA","RIO DE JANEIRO","RJ","Rua Cândido Gaffrée - Urca, Rio de Janeiro, 22291-080, Brazil",-22.9434,-43.1599,-22.9476,-43.1627,-22.9456,-43.1614,"2013-08-17 15:35:15"
7450,"RUA CANDIDO MENDES","BOTAFOGO","RIO DE JANEIRO","RJ","Rua Cândido Mendes, Rio de Janeiro, 20241-220, Brazil",-22.9192,-43.1771,-22.9211,-43.1846,-22.9205,-43.1807,"2013-08-17 15:35:16"
7451,"RUA CANDIDO MENDES","GLORIA","RIO DE JANEIRO","RJ","Rua Cândido Mendes, Rio de Janeiro, 20241-220, Brazil",-22.9192,-43.1771,-22.9211,-43.1848,-22.9205,-43.1807,"2013-08-17 15:35:16"
7452,"RUA CANDIDO MENDES","STA TERESA","RIO DE JANEIRO","RJ","Rua Cândido Mendes - Santa Teresa, Rio de Janeiro, 20241-220, Brazil",-22.9192,-43.1771,-22.9211,-43.1848,-22.9205,-43.1807,"2013-08-17 15:35:17"
7453,"RUA CANIU","PECHINCHA","RIO DE JANEIRO","RJ","Rua Caniú - Pechincha, Rio de Janeiro, 22770-580, Brazil",-22.9382,-43.3593,-22.9415,-43.3603,-22.9386,-43.3594,"2013-08-17 15:35:17"
7454,"RUA CANNING","COPACABANA","RIO DE JANEIRO","RJ","Rua Canning - Ipanema, Rio de Janeiro, 22081-040, Brazil",-22.9847,-43.1943,-22.9859,-43.1952,-22.9849,-43.1951,"2013-08-17 15:35:18"
7455,"RUA CANNING","IPANEMA","RIO DE JANEIRO","RJ","Rua Canning - Ipanema, Rio de Janeiro, 22081-040, Brazil",-22.9847,-43.1943,-22.9859,-43.1952,-22.9849,-43.1951,"2013-08-17 15:35:18"
7456,"RUA CANTILDA MACIEL","ABOLICAO","RIO DE JANEIRO","RJ","Rua Cantilda Maciel - Abolição, Rio de Janeiro, 20755-190, Brazil",-22.8852,-43.2988,-22.8865,-43.2996,-22.8859,-43.2991,"2013-08-17 15:35:19"
